Displacement (mm)	Intensity (Volts)
0.00	0.192
0.05	0.199
0.10	0.210
0.15	0.221
0.20	0.230
0.25	0.240
0.30	0.247
0.35	0.256
0.40	0.266
0.45	0.272
0.50	0.281
0.55	0.288
0.60	0.295
0.65	0.302
0.70	0.309
0.75	0.314
0.80	0.320
0.85	0.324
0.90	0.329
0.95	0.332
1.00	0.335
1.05	0.338
1.10	0.341
1.15	0.342
1.20	0.343
1.25	0.342
1.30	0.342
1.35	0.341
1.40	0.339
1.45	0.338
1.50	0.337
1.55	0.335
1.60	0.332
1.65	0.330
1.70	0.327
1.75	0.323
1.80	0.320
1.85	0.315
1.90	0.310
1.95	0.304
2.00	0.299
2.05	0.292
2.10	0.286
2.15	0.279
2.20	0.273
2.25	0.266
2.30	0.261
2.35	0.255
2.40	0.249
2.45	0.241
2.50	0.235
2.55	0.229
2.60	0.222
2.65	0.217
2.70	0.210
2.75	0.202
2.80	0.197
2.85	0.189
2.90	0.183
2.95	0.176
3.00	0.167
3.05	0.161
3.10	0.154
3.15	0.147
3.20	0.139
3.25	0.132
3.30	0.125
3.35	0.119
3.40	0.112
3.45	0.105
3.50	0.099
3.55	0.092
3.60	0.087
3.65	0.080
3.70	0.075
3.75	0.069
3.80	0.063
3.85	0.059
3.90	0.053
3.95	0.049
4.00	0.045
4.05	0.040
4.10	0.036
4.15	0.033
4.20	0.029
4.25	0.026
4.30	0.023
4.35	0.021
4.40	0.018
4.45	0.016
4.50	0.013
4.55	0.011
4.60	0.010
4.65	0.010
4.70	0.009
4.75	0.009
4.80	0.009
4.85	0.009
4.90	0.009
4.95	0.008
5.00	0.008
5.05	0.008
