Displacement (mm)	Intensity (Volts)
0.00	0.038
0.05	0.040
0.10	0.044
0.15	0.050
0.20	0.055
0.25	0.061
0.30	0.067
0.35	0.073
0.40	0.080
0.45	0.088
0.50	0.094
0.55	0.103
0.60	0.109
0.65	0.117
0.70	0.124
0.75	0.132
0.80	0.140
0.85	0.148
0.90	0.155
0.95	0.162
1.00	0.171
1.05	0.179
1.10	0.186
1.15	0.194
1.20	0.202
1.25	0.208
1.30	0.215
1.35	0.222
1.40	0.228
1.45	0.235
1.50	0.243
1.55	0.248
1.60	0.254
1.65	0.260
1.70	0.265
1.75	0.270
1.80	0.275
1.85	0.279
1.90	0.283
1.95	0.286
2.00	0.288
2.05	0.290
2.10	0.293
2.15	0.295
2.20	0.296
2.25	0.298
2.30	0.300
2.35	0.302
2.40	0.304
2.45	0.305
2.50	0.307
2.55	0.307
2.60	0.308
2.65	0.308
2.70	0.308
2.75	0.308
2.80	0.306
2.85	0.304
2.90	0.302
2.95	0.299
3.00	0.296
3.05	0.292
3.10	0.288
3.15	0.282
3.20	0.276
3.25	0.273
3.30	0.268
3.35	0.264
3.40	0.258
3.45	0.252
3.50	0.246
3.55	0.239
3.60	0.233
3.65	0.225
3.70	0.217
3.75	0.210
3.80	0.202
3.85	0.194
3.90	0.186
3.95	0.179
4.00	0.169
4.05	0.163
4.10	0.156
4.15	0.148
4.20	0.141
4.25	0.134
4.30	0.128
4.35	0.121
4.40	0.115
4.45	0.108
4.50	0.106
4.55	0.102
4.60	0.095
4.65	0.089
4.70	0.083
4.75	0.076
4.80	0.071
4.85	0.065
4.90	0.060
4.95	0.055
5.00	0.043
5.05	0.040
5.10	0.036
5.15	0.033
5.20	0.029
5.25	0.026
5.30	0.023
5.35	0.020
5.40	0.017
5.45	0.015
5.50	0.013
5.55	0.011
5.60	0.010
5.65	0.009
5.70	0.009
5.75	0.009
5.80	0.009
5.85	0.008
5.90	0.008
5.95	0.008
6.00	0.008
