Displacement (mm)	Intensity (Volts)
0.00	0.124
0.05	0.096
0.10	0.108
0.15	0.156
0.20	0.240
0.25	0.341
0.30	0.457
0.35	0.550
0.40	0.616
0.45	0.635
0.50	0.609
0.55	0.536
0.60	0.427
0.65	0.302
0.70	0.194
0.75	0.125
0.80	0.119
0.85	0.177
0.90	0.299
0.95	0.461
1.00	0.643
1.05	0.814
1.10	0.937
1.15	0.989
1.20	0.953
1.25	0.818
1.30	0.670
1.35	0.480
1.40	0.302
1.45	0.151
1.50	0.111
1.55	0.139
1.60	0.251
1.65	0.432
1.70	0.685
1.75	0.842
1.80	1.009
1.85	1.091
1.90	1.083
1.95	0.956
2.00	0.814
2.05	0.598
2.10	0.381
2.15	0.192
2.20	0.114
2.25	0.106
2.30	0.188
2.35	0.335
2.40	0.512
2.45	0.722
2.50	0.876
2.55	0.952
2.60	0.963
2.65	0.894
2.70	0.739
2.75	0.555
2.80	0.419
2.85	0.268
2.90	0.155
2.95	0.107
3.00	0.127
3.05	0.203
3.10	0.316
3.15	0.439
3.20	0.555
3.25	0.587
3.30	0.637
3.35	0.672
3.40	0.655
3.45	0.591
3.50	0.487
3.55	0.382
3.60	0.264
3.65	0.171
3.70	0.111
3.75	0.088
3.80	0.100
3.85	0.139
