Displacement (mm)	Adjusted Counts
0.00	220.2
0.05	240.2
0.10	266.2
0.15	329.2
0.20	374.2
0.25	341.2
0.30	304.2
0.35	254.2
0.40	220.2
0.45	195.2
0.50	178.2
0.55	304.2
0.60	504.2
0.65	712.2
0.70	887.2
0.75	1020.2
0.80	1077.2
0.85	929.2
0.90	682.2
0.95	525.2
1.00	328.2
1.05	152.2
1.10	250.2
1.15	538.2
1.20	826.2
1.25	1307.2
1.30	1733.2
1.35	1993.2
1.40	1992.2
1.45	1779.2
1.50	1332.2
1.55	872.2
1.60	419.2
1.65	221.2
1.70	272.2
1.75	640.2
1.80	1191.2
1.85	1823.2
1.90	2397.2
1.95	2669.2
2.00	2771.2
2.05	2483.2
2.10	1926.2
2.15	1283.2
2.20	614.2
2.25	342.2
2.30	391.2
2.35	766.2
2.40	1420.2
2.45	2015.2
2.50	2721.2
2.55	3021.2
2.60	2913.2
2.65	2646.2
2.70	1911.2
2.75	1293.2
2.80	772.2
2.85	444.2
2.90	481.2
2.95	775.2
3.00	1392.2
3.05	1804.2
3.10	2334.2
3.15	2636.2
3.20	2655.2
3.25	2326.2
3.30	1899.2
3.35	1351.2
3.40	1158.2
3.45	876.2
3.50	596.2
3.55	480.2
3.60	689.2
3.65	956.2
3.70	1325.2
3.75	1608.2
3.80	1857.2
3.85	1793.2
