# T dT P dP
1.507866509575955206e+03 1.798924110773414498e+02 6.999999999999999556e-01 1.000000000000000021e-03
1.758132763125486917e+03 1.682746731151607946e+02 1.010000000000000009e+00 1.000000000000000021e-03
1.936902471533239577e+03 1.610407867104925970e+02 1.711999999999999966e+00 1.000000000000000021e-03
2.101850099050209792e+03 1.544752297596014898e+02 2.225000000000000089e+00 1.000000000000000021e-03
2.256004482544472012e+03 1.497661987908695949e+02 3.464999999999999858e+00 1.000000000000000021e-03
2.378804654097179537e+03 1.450596615872077848e+02 4.573999999999999844e+00 1.000000000000000021e-03
2.505046964498722900e+03 1.422325667519297099e+02 6.216999999999999638e+00 1.000000000000000021e-03
2.611821423406210215e+03 1.387385815572976355e+02 8.531000000000000583e+00 1.000000000000000021e-03
2.726096641249320783e+03 1.360449605006419915e+02 1.018599999999999994e+01 1.000000000000000021e-03
1.681419032426079184e+03 1.821080553824103845e+02 1.258000000000000007e+00 1.000000000000000021e-03
1.864424688649228983e+03 1.668080837836814396e+02 1.812000000000000055e+00 1.000000000000000021e-03
2.034543826655274415e+03 1.579897605185874454e+02 2.875999999999999890e+00 1.000000000000000021e-03
2.182812976418917060e+03 1.535722432890942741e+02 3.791999999999999815e+00 1.000000000000000021e-03
2.307163922847692447e+03 1.472296862580263053e+02 4.836999999999999744e+00 1.000000000000000021e-03
2.444773726911816539e+03 1.447961128457744167e+02 5.991999999999999993e+00 1.000000000000000021e-03
2.559259271311854718e+03 1.404723216199952844e+02 7.663000000000000256e+00 1.000000000000000021e-03
2.670637632677627153e+03 1.382990527721787259e+02 9.115999999999999659e+00 1.000000000000000021e-03
2.920402215238223107e+03 1.300134321019484389e+02 1.371199999999999974e+01 1.000000000000000021e-03
