# log(T) dlog(T) log(P) dlog(P)
7.318451023148286438e+00 1.193026106322442881e-01 -3.566749439387324472e-01 1.428571428571428787e-03
7.472007594805215369e+00 9.571215362371934821e-02 9.950330853168092016e-03 9.900990099009901110e-04
7.568845311872594905e+00 8.314346699295278864e-02 5.376622777195503300e-01 5.841121495327103452e-04
7.650573235406914030e+00 7.349488425906595956e-02 7.997569156182036121e-01 4.494382022471910291e-04
7.721350599559447581e+00 6.638559450996893430e-02 1.242712632641866488e+00 2.886002886002886000e-04
7.774353394320007382e+00 6.098006464606562510e-02 1.520388095600589295e+00 2.186270222999562804e-04
7.826062761646101151e+00 5.677840326653971897e-02 1.827287475287200369e+00 1.608492842206852267e-04
7.867803120297351960e+00 5.311947452225180416e-02 2.143706587926557550e+00 1.172195522213105123e-04
7.910626063296946064e+00 4.990467265250547041e-02 2.321014228462412898e+00 9.817396426467701366e-05
7.427393378029353066e+00 1.083061698901142123e-01 2.295231582782487900e-01 7.949125596184420219e-04
7.530707806552740635e+00 8.946893097866745470e-02 5.944312076207876050e-01 5.518763796909492269e-04
7.618026908942471920e+00 7.765365309348858103e-02 1.056400439858800278e+00 3.477051460361613730e-04
7.688369680144560903e+00 7.035519989488155101e-02 1.332893584392775388e+00 2.637130801687764033e-04
7.743774310199864175e+00 6.381414202953696047e-02 1.576294693840846195e+00 2.067397146991937346e-04
7.801707852396058129e+00 5.922679520475607196e-02 1.790425246214918387e+00 1.668891855807743611e-04
7.847473148460840875e+00 5.488788228477935877e-02 2.036403551988267502e+00 1.304971943103223160e-04
7.890072536619773480e+00 5.178503106522831800e-02 2.210031111383437885e+00 1.096972356296621343e-04
7.979476630720960806e+00 4.451901571076673919e-02 2.618271361855423862e+00 7.292882147024504810e-05
