# λ(nm) 1/T d(1/T) log(P) dlog(P)
6.000000000000000000e+02 6.668396317392146682e-04 8.193064127570680864e-05 -4.509860006183766146e+00 9.090909090909091161e-02
6.000000000000000000e+02 5.685997393778378537e-04 5.506200217695203465e-05 -2.302585092994045457e+00 1.000000000000000021e-02
6.000000000000000000e+02 5.150659220492430444e-04 4.239623596570609327e-05 -1.052683356779710033e+00 2.865329512893983153e-03
6.000000000000000000e+02 4.723999107528920223e-04 3.471892580964458665e-05 -1.578240851935672207e-01 1.170960187353629976e-03
6.000000000000000000e+02 4.430559294633279509e-04 2.917738131666400346e-05 5.538851132264376309e-01 5.747126436781609116e-04
6.000000000000000000e+02 4.190977336069149641e-04 2.555661042531992460e-05 1.078409581350590285e+00 3.401360544217687382e-04
6.000000000000000000e+02 3.988386112561482285e-04 2.264542262000318945e-05 1.529311867954815440e+00 2.166847237269772472e-04
6.000000000000000000e+02 3.819664854609257669e-04 2.028987145102916187e-05 1.916922612182061059e+00 1.470588235294117789e-04
6.000000000000000000e+02 3.673442553891525597e-04 1.833218532979323623e-05 2.260720888895346725e+00 1.042752867570385792e-04
8.000000000000000000e+02 6.631886799324309897e-04 7.912014085769089621e-05 -1.619488248287601850e+00 5.050505050505050067e-03
8.000000000000000000e+02 5.685997393778378537e-04 5.506200217695203465e-05 -3.562717764315116026e-02 1.036269430051813423e-03
8.000000000000000000e+02 5.144525842033021486e-04 4.277331485416402027e-05 9.122827104766163542e-01 4.016064257028112081e-04
8.000000000000000000e+02 4.745239809871871226e-04 3.456658817501856478e-05 1.631786316097862288e+00 1.955798943868570074e-04
8.000000000000000000e+02 4.435766359505642869e-04 2.921167463365267867e-05 2.162172939277300809e+00 1.150747986191024249e-04
8.000000000000000000e+02 4.186724982682228841e-04 2.553068077116776505e-05 2.562638998328352624e+00 7.710100231303006321e-05
8.000000000000000000e+02 4.002648417679104771e-04 2.272638931240773962e-05 2.888147062874053539e+00 5.567928730512249606e-05
8.000000000000000000e+02 3.819664854609257669e-04 2.028987145102916187e-05 3.196507509006192294e+00 4.090481449666625934e-05
8.000000000000000000e+02 3.676045680665828677e-04 1.834517140143921289e-05 3.457924220905702395e+00 3.149507102138515268e-05
1.200000000000000000e+03 6.654999447391224962e-04 7.939614467286583346e-05 -5.108256237659907217e-01 1.666666666666666774e-03
1.200000000000000000e+03 5.672740905503627709e-04 5.493355527640500659e-05 6.151856390902334937e-01 5.405405405405405489e-04
1.200000000000000000e+03 5.150659220492430444e-04 4.239623596570609327e-05 1.275362800412608966e+00 2.793296089385474625e-04
