#λ(nm) V(V) I(A) P(mV)
600 22.86 0.67 0.011
600 35.2 0.85 0.100
600 46.7 1.00 0.349
600 58.1 1.12 0.854
600 70.1 1.25 1.740
600 81.0 1.35 2.940
600 92.4 1.45 4.615
600 104.1 1.55 6.800
600 116.2 1.65 9.590
800 23.7 0.69 0.198
800 35.2 0.85 0.965
800 46.3 0.99 2.490
800 58.3 1.13 5.113
800 70.0 1.25 8.690
800 81.1 1.35 12.970
800 92.0 1.45 17.960
800 104.1 1.55 24.447
800 116.1 1.65 31.751
1200 23.6 0.69 0.600
1200 35.3 0.85 1.850
1200 46.7 1.00 3.580
1200 58.3 1.13 5.770
1200 69.8 1.25 8.260
1200 80.7 1.35 10.995
1200 92.2 1.45 14.050
1200 103.9 1.55 17.280
1200 115.7 1.65 20.780
1600 23.8 0.69 4.7250
1600 34.8 0.85 10.800
1600 46.5 0.99 18.650
1600 58.2 1.12 27.350
1600 69.8 1.24 36.465
1600 81.5 1.36 46.077
1600 92.5 1.46 55.600
1600 104.5 1.56 65.900

1800 23.7 0.69 4.780
1800 35.3 0.85 9.420
1800 46.7 1.00 13.920
1800 58.3 1.13 18.110
1800 70.0 1.25 22.000
1800 80.7 1.35 25.130
1800 92.3 1.45 28.177
1800 104.1 1.55 31.030
1800 116.0 1.65 33.580
2400 22.9 0.67 3.666
2400 35.4 0.86 6.530
2400 46.8 1.00 9.170
2400 58.3 1.13 11.650
2400 70.1 1.25 13.960
2400 81.0 1.35 15.910
2400 92.2 1.45 17.751
2400 104.1 1.55 19.560
2400 116.1 1.65 21.250
